# Source: Eurostat ilc_lvho02 (tenure, DOI 10.2908/ilc_lvho02). Filters: tenure=RENT, hhcomp=TOTAL, incgrp=TOTAL, unit=PC. Latest year per country. Retrieved 2026-07-02 from Eurostat dissemination API. Direct CSV: https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/ilc_lvho02/A.TOTAL.TOTAL.RENT.PC.?format=SDMX-CSV&startPeriod=2024
country,geo,pct_tenant_total,year
Switzerland,CH,58.0,2024
Germany,DE,52.8,2025
Denmark,DK,41.6,2025
Sweden,SE,35.4,2025
Austria,AT,45.8,2025
Luxembourg,LU,35.9,2025
Turkey,TR,43.1,2025
Greece,EL,30.6,2025
Malta,MT,29.1,2025
Finland,FI,33.1,2025
EU27,EU27_2020,31.5,2025
Belgium,BE,29.1,2025
Czechia,CZ,24.9,2025
Norway,NO,20.0,2025
Spain,ES,26.4,2025
France,FR,38.6,2025
Portugal,PT,28.8,2025
Cyprus,CY,30.8,2025
Ireland,IE,29.1,2025
Italy,IT,22.9,2025
Estonia,EE,20.3,2025
Slovenia,SI,25.8,2025
Latvia,LV,17.8,2025
Netherlands,NL,31.2,2025
Poland,PL,12.8,2025
Hungary,HU,10.2,2025
Montenegro,ME,9.7,2023
Slovakia,SK,6.2,2025
Lithuania,LT,13.5,2025
Serbia,RS,11.1,2025
Romania,RO,6.8,2025
Bulgaria,BG,13.9,2025
Croatia,HR,8.6,2025
North Macedonia,MK,13.0,2024
